number,name,status
395,Qualified Names for Modules,Withdrawn
393,Flexible String Representation,Final
391,Dictionary-Based Configuration For Logging,Final
389,argparse - New Command Line Parsing Module,Final
387,Backwards Compatibility Policy,Process
386,Changing the version comparison module in Distutils,Superseded
383,Non-decodable Bytes in System Character Interfaces,Final
382,Namespace Packages,Rejected
385,Migrating from Subversion to Mercurial,Final
384,Defining a Stable ABI,Final
381,Mirroring infrastructure for PyPI,Withdrawn
379,Adding an Assignment Expression,Withdrawn
378,Format Specifier for Thousands Separator,Final
380,Syntax for Delegating to a Subgenerator,Final
375,Python 3.1 Release Schedule,Final
377,Allow __enter__() methods to skip the statement body,Rejected
373,Python 2.7 Release Schedule,Final
376,Database of Installed Python Distributions,Final
372,Adding an ordered dictionary to collections,Final
370,Per user site-packages directory,Final
371,Addition of the multiprocessing package to the standard library,Final
369,Post import hooks,Withdrawn
374,Choosing a distributed VCS for the Python project,Final
368,Standard image protocol and class,Deferred
366,Main module explicit relative imports,Final
367,New Super,Superseded
365,Adding the pkg_resources module,Rejected
363,Syntax For Dynamic Attribute Access,Rejected
364,Transitioning to the Py3K Standard Library,Withdrawn
361,Python 2.6 and 3.0 Release Schedule,Final
362,Function Signature Object,Final
360,Externally Maintained Packages,Final
358,The “bytes” Object,Final
357,Allowing Any Object to be Used for Slicing,Final
359,The “make” Statement,Withdrawn
356,Python 2.5 Release Schedule,Final
355,Path - Object oriented filesystem paths,Rejected
354,Enumerations in Python,Superseded
353,Using ssize_t as the index type,Final
352,Required Superclass for Exceptions,Final
351,The freeze protocol,Rejected
349,Allow str() to return unicode strings,Rejected
348,Exception Reorganization for Python 3.0,Rejected
350,Codetags,Rejected
347,Migrating the Python CVS to Subversion,Process
344,Exception Chaining and Embedded Tracebacks,Superseded
345,Metadata for Python Software Packages 1.2,Standards Track
341,Unifying try-except and try-finally,Final
346,User Defined (”,Withdrawn
343,The “with” Statement,Final
342,Coroutines via Enhanced Generators,Final
339,Design of the CPython Compiler,Withdrawn
340,Anonymous Block Statements,Rejected
337,Logging Usage in the Standard Library,Deferred
338,Executing modules as scripts,Final
336,Make None Callable,Rejected
335,Overloadable Boolean Operators,Rejected
334,Simple Coroutines via SuspendIteration,Withdrawn
332,Byte vectors and String/Unicode Unification,Rejected
331,Locale-Independent Float/String Conversions,Final
330,Python Bytecode Verification,Rejected
329,Treating Builtins as Constants in the Standard Library,Rejected
328,Imports: Multi-Line and Absolute/Relative,Final
333,Python Web Server Gateway Interface v1.0,Informational
326,A Case for Top and Bottom Values,Rejected
325,Resource-Release Support for Generators,Rejected
327,Decimal Data Type,Final
322,Reverse Iteration,Final
324,subprocess - New process module,Final
321,Date/Time Parsing and Formatting,Withdrawn
323,Copyable Iterators,Deferred
320,Python 2.4 Release Schedule,Final
319,Python Synchronize/Asynchronize Block,Rejected
317,Eliminate Implicit Exception Instantiation,Rejected
315,Enhanced While Loop,Rejected
316,Programming by Contract for Python,Deferred
318,Decorators for Functions and Methods,Final
313,Adding Roman Numeral Literals to Python,Rejected
314,Metadata for Python Software Packages 1.1,Standards Track
311,Simplified Global Interpreter Lock Acquisition for Extensions,Final
312,Simple Implicit Lambda,Deferred
310,Reliable Acquisition/Release Pairs,Rejected
309,Partial Function Application,Final
306,How to Change Python’s Grammar,Withdrawn
308,Conditional Expressions,Final
307,Extensions to the pickle protocol,Final
305,CSV File API,Standards Track
303,Extend divmod() for Multiple Divisors,Rejected
304,Controlling Generation of Bytecode Files,Withdrawn
301,Package Index and Metadata for Distutils,Final
299,Special __main__() function in modules,Rejected
298,The Locked Buffer Interface,Withdrawn
302,New Import Hooks,Final
295,Interpretation of multiline string constants,Rejected
297,Support for System Upgrades,Rejected
294,Type Names in the types Module,Rejected
292,Simpler String Substitutions,Final
296,Adding a bytes Object Type,Withdrawn
291,Backward Compatibility for the Python 2 Standard Library,Final
293,Codec Error Handling Callbacks,Final
286,Enhanced Argument Tuples,Deferred
288,Generators Attributes and Exceptions,Withdrawn
289,Generator Expressions,Final
290,Code Migration and Modernization,Active
284,Integer for-loops,Rejected
285,Adding a bool type,Final
287,reStructuredText Docstring Format,Informational
283,Python 2.3 Release Schedule,Final
281,Loop Counter Iteration with range and xrange,Rejected
279,The enumerate() built-in function,Final
280,Optimizing access to globals,Deferred
277,Unicode file name support for Windows NT,Final
282,A Logging System,Final
278,Universal Newline Support,Final
276,Simple Iterator for ints,Rejected
274,Dict Comprehensions,Final
275,Switching on Multiple Values,Rejected
272,API for Block Encryption Algorithms v1.0,Final
271,Prefixing sys.path by command line option,Rejected
273,Import Modules from Zip Archives,Final
270,uniq method for list objects,Rejected
269,Pgen Module for Python,Deferred
268,Extended HTTP functionality and WebDAV,Rejected
267,Optimized Access to Module Namespaces,Deferred
264,Future statements in simulated shells,Final
265,Sorting Dictionaries by Value,Rejected
266,Optimizing Global Variable/Attribute Access,Withdrawn
262,A Database of Installed Python Packages,Rejected
263,Defining Python Source Code Encodings,Final
261,Support for “wide” Unicode characters,Final
260,Simplify xrange(),Final
259,Omit printing newline after newline,Rejected
257,Docstring Conventions,Informational
254,Making Classes Look More Like Types,Rejected
256,Docstring Processing System Framework,Standards Track
258,Docutils Design Specification,Standards Track
255,Simple Generators,Final
251,Python 2.2 Release Schedule,Final
250,Using site-packages on Windows,Final
253,Subtyping Built-in Types,Final
252,Making Types Look More Like Classes,Final
248,Python Database API Specification v1.0,Informational
247,API for Cryptographic Hash Functions,Final
249,Python Database API Specification v2.0,Informational
245,Python Interface Syntax,Rejected
244,The ,Rejected
246,Object Adaptation,Rejected
243,Module Repository Upload Mechanism,Standards Track
242,Numeric Kinds,Withdrawn
240,Adding a Rational Literal to Python,Rejected
241,Metadata for Python Software Packages,Standards Track
239,Adding a Rational Type to Python,Rejected
237,Unifying Long Integers and Integers,Final
221,Import As,Final
238,Changing the Division Operator,Final
220,"Coroutines, Generators, Continuations",Rejected
219,Stackless Python,Deferred
218,Adding a Built-In Set Object Type,Final
217,Display Hook for Interactive Use,Final
216,Docstring Format,Withdrawn
214,Extended Print Statement,Final
210,Decoupling the Interpreter Loop,Rejected
211,Adding A New Outer Product Operator,Rejected
209,Multi-dimensional Arrays,Withdrawn
213,Attribute Access Handlers,Deferred
208,Reworking the Coercion Model,Final
204,Range Literals,Rejected
203,Augmented Assignments,Final
206,Python Advanced Library,Withdrawn
212,Loop Counter Iteration,Rejected
207,Rich Comparisons,Final
205,Weak References,Final
215,String Interpolation,Superseded
200,Python 2.0 Release Schedule,Final
160,Python 1.6 Release Schedule,Final
20,The Zen of Python,Active
101,Doing Python Releases 101,Active
100,Python Unicode Integration,Final
202,List Comprehensions,Final
42,Feature Requests,Withdrawn
201,Lockstep Iteration,Final
10,Voting Guidelines,Active
102,Doing Python Micro Releases,Superseded
13,Python Language Governance,Active
9,Sample Plaintext PEP Template,Withdrawn
11,CPython platform support,Active
12,Sample reStructuredText PEP Template,Active
4,Deprecation of Standard Modules,Active
5,Guidelines for Language Evolution,Superseded
7,Style Guide for C Code,Active
3,Guidelines for Handling Bug Reports,Withdrawn
103,Collecting information about git,Withdrawn
2,Procedure for Adding New Modules,Active
6,Bug Fix Releases,Superseded
8,Style Guide for Python Code,Active
